start	end	text
0	9840	All right, so we're going to be doing a quick little ditty on institutional order flow.
9840	15720	I'm going to be trading against the daily bias.
15720	25480	Okay, I'm going long here, and it's on the basis of the sell-stop or sell-side liquidity
25480	26480	being taken.
26480	33480	I traded into a fair value gap around that $4,000 level, and I'm trading with the idea
33480	39200	that it could run up here and take out the buy stops above the high of the day.
39200	44120	It doesn't need to do that to be profitable.
44120	67560	So my draw liquidity is here, and noting the buy-side liquidity will take in a clear profitable
67560	75640	shorts.
75640	82400	So this is kind of like the idea, the draw on liquidity.
82400	85840	Now it doesn't need to trade here to be profitable.
85840	88780	That's just my best case scenario.
88780	95600	So what I want to do now is draw the buy-side and sell-side liquidity pools, and I'll show
95600	103560	you the framework for the logic of why I'm entering where I'm entering at, and I want
103560	108000	you to take a look at the chart first and see if you understand what I'm capitalizing
108000	113440	on.
113440	123000	Pause the video.
123000	129160	This here is the sell-side liquidity.
129160	131680	So the market has dropped below those relative equal lows.
131680	135040	I bought those sell-stops.
135040	143040	So sell-side is taken, so you can see that here.
143040	148080	And now what I'm going to target, even though I think it could go, but it may not really
148080	151960	get there, it can go to $40.51 and take out the high of the day.
152520	154560	But let's say I'm wrong.
154560	156000	What am I going to aim for?
156000	161760	This is where I'm going to take the bulk of my position off at, and I'm going to make
161760	164760	this show on top of the line.
175760	180760	Okay, and put that on top.
180760	183040	All right, so I'm reaching for that.
183040	187160	Now the bulk of my position, I'm going to try to pyramid and build this position a little
187160	196160	bit bigger than just the four contracts, but we'll see what I get.
196160	200360	Now try not to worry about that profit and loss.
200360	202360	That's a distraction.
202360	206360	Pay attention to the price.
206360	213960	Okay, we dipped inside that fair value gap just to the left of us, and we went below
213960	215360	to take out the relative equal lows.
215360	220480	That's noted here for the sell-side liquidity being taken.
220480	223520	So I'm looking for expansion to the upside.
223520	225160	Retail sees that as a bear flag.
225160	231800	Okay, so they're thinking lower prices, I'm not.
231800	235920	Even if I'm wrong about it not going to $40.51, I'm confident that we're going to go up into
235920	241320	the buy-side liquidity that's noted in blue.
241320	245200	Okay, so far price looks nice.
245200	254880	It's respecting the underlying narrative I'm acting upon.
254880	259960	Now I want you to also monitor how I manage my stop loss.
259960	264960	Even though I'm trading against the daily bias, the fact that we traded down three times
265000	273760	yesterday and took out yesterday's low by doing so, that lack of follow-through, kind
273760	274760	of like bolsters.
274760	283760	I'm going to do two more here trading onto the order block.
283760	293160	Okay, so now I have six contracts long, and I'll move my stop off just a little bit underneath
293160	295260	that low rate there.
295260	296760	Should not trade back down into that.
296760	300560	If it does, I'm wrong and that's fine.
300560	303240	Why do I feel confident about placing my stop loss there?
303240	307760	Because if you look where I have my stop, it's basically inside of the lower end of
307760	312200	the fair value gap and the old short-term high around $9.30.
312200	316960	So I have market structure supporting the idea, and we've already taken sell-side liquidity
316960	317960	out.
317960	323060	We're back inside the range between where my stop loss order is and the short-term high
323060	326660	I have noted for buy-side liquidity.
326660	329740	So buy-side liquidity is the next draw on liquidity.
329740	331980	I'll take four of the contracts off.
331980	335020	So I'm going to annotate what we're doing here.
335020	339140	We're just bumping the order block there.
339140	341260	Straighten this line out here.
341260	345860	Okay, hold down shift when you're dragging your trend lines and trading with you.
345860	349100	It'll automatically straighten them out.
349100	352740	And that is an order block.
352740	354980	Bullish order block is what I'm annotating here.
354980	362420	So you can see this is all being done as it happens.
362420	368500	I can chew bubblegum and walk at the same time.
368500	371700	And that's what I'm looking for.
371700	376140	I'm looking for that type of movement.
