start	end	text
0	5000	Welcome to ICT for Dummies Episode 8
5000	8000	Premium and discount
8000	12000	Premium and discount
15000	19000	Buy low and sell high
23000	26000	Yeah, keep it short in there
27000	29000	Add to premium
30000	33000	And keep longin' at the discount
33000	35000	Cause this is
35000	37000	Buying low
37000	39000	And sell high
42000	45000	If it would not, she won't get you right
48000	52000	Find six liquidity and rebalance ranges
52000	54000	That's how you trade this
54000	56000	With the premium and discount
56000	59000	You will maybe probably get laid
60000	63000	What? That's a crazy last one
63000	67000	Alright everyone, so today for this video we're going to be going over premium and discount
67000	70000	We're going to be going over what these ranges actually mean
70000	75000	I'm sure you've heard the term used a lot inside of a premium range or inside of a discount range
75000	77000	So we'll get into how you can actually use them
77000	80000	It might be a little bit confusing cause there's going to be a lot of different ranges
80000	84000	But we're going to get into some examples and again show you how to actually use them
84000	88000	The first step is whipping out your fib retracement tool
88000	92000	This is going to be your best friend when it comes to marking out premium and discount
92000	94000	Blake, show them what that looks like
96000	98000	Oh, they actually did bring my
98000	100000	Your nutsack ointment
100000	102000	My nutsack ointment is here, be right back
102000	107000	So first things first guys, I just want to explain to you guys why this is actually important, premium and discount
107000	109000	And just give you an analogy for like real life
109000	112000	For example, when you're at the store and you want to buy something, right
112000	114000	You want to buy it at a discount
114000	118000	For example, for PD Premium, you want to be getting it on those sales, right
118000	122000	When we have 25% off for National Woman's Day for celebrating Patrick, right
122000	124000	So you want to be getting it during times like that
124000	129000	You do not want to be getting it at a premium when prices are inflated or when prices are raised
129000	133000	No, no, no, don't join the Discord at a discount
133000	138000	That's when we get all you damn brain rotters who just don't even care to learn
138000	139000	All you care about is just
140000	143000	Some of you guys just like sometimes just fricking join the Discord
143000	145000	And just like signal, signal
145000	147000	And you don't even care about my feelings
147000	149000	I'm there to teach you, bro
149000	152000	I just want to change your life and stuff
152000	155000	All you care about is like yo, PB, when's the next discount
155000	158000	Not everything's about a discount
159000	161000	They always ask when the next signal is coming out
161000	163000	But never how's the signaler
163000	165000	How's the signaler doing
165000	167000	I mean again guys, for example, you're in the store
167000	169000	You want to be buying eggs when they're on a discount
169000	171000	Not when it's premium, not when the prices are inflated
171000	175000	That's essentially the whole reasoning behind premium and discount, right
175000	178000	You want to be getting in on the market at a good price
178000	183000	So with this lesson, we're really going to show you how to utilize the Fibonacci tool as effectively as possible
183000	185000	And what this is going to do is going to optimize your entries
185000	189000	If you're longing from a premium or you're shorting from a discount
189000	194000	It's not going to be as optimal as if you're longing from the discount or shorting from the premium
194000	197000	So let's show you guys where actually premium and discount lies
197000	203000	So for example, in this trading leg, we have a very obvious impulsive swing high and a swing low
203000	205000	And let's say in this scenario that we are bearish
205000	209000	We're going to be drawing out our Fib tool from the swing high all the way down here towards this swing low
209000	212000	Now really quick, if you guys want to just look at the Fib retracement
212000	214000	I just have 0.5 here and 1
214000	219000	Now if I want to be shorting, I want to see price trade into equilibrium of this range
219000	220000	This is called equilibrium
220000	222000	The 0.5 is called equilibrium
222000	226000	In this bearish scenario, anything here is considered discount
226000	229000	Anything here is considered premium, right?
229000	232000	So if we're shorting, we want to be in premium
232000	234000	Now, like we've said before, and we say this all the time
234000	236000	Price is always doing one of two things
236000	239000	What is that? It is either seeking liquidity or rebalancing ranges
239000	241000	So like Blake mentioned, when you do have these super impulsive moves
241000	245000	For example, this very strong bearish order flow that leaves little to no retracement
245000	251000	If you want to short, you at least want to see a rebalance of this range before you take shorts lower
251000	254000	You want to be shorting from the premium of this range
254000	258000	You want to be shorting once equilibrium has been hit and that range has been rebalanced
258000	263000	And the main point of premium and discount, guys, all comes down to risk to reward
263000	268000	So if I bring out my risk to reward tool, you can see here at exactly equilibrium
268000	273000	This will give me a one-to-one risk to reward from the buy side liquidity to the sell side liquidity
273000	278000	And as we get deeper into the premium of this range, the better my risk to reward will be
278000	282000	And as you see, as we keep going deeper into this range, the better my risk to reward becomes
282000	287000	So this is going to be really helpful for you guys to actually get better risk to reward on your trades
287000	292000	Because you do not want to be shorting, for example, here when price hasn't even reached equilibrium of this range
292000	295000	Because your risk to reward will be negative and that is not good
295000	298000	So now we can mark out this bullish leg bottom to top
298000	303000	And as you can see here, we now have the premium and the discount marked out, right?
303000	308000	So if you want to take longs, ideally, this is not the area we want to be longing in
308000	310000	Why? Because we are very premiumed right now
310000	316000	You would want to see price rebalance this range, which means at least trade up until equilibrium
316000	320000	And now this imbalance has been corrected and now longs are going to be far more optimal
