start	end	text
0	6560	Today I'm going to show you an amazing scalping strategy that takes advantage of the first 90
6560	12960	minutes of the market open. It's called the quick flip scalper. It's repeatable. It's effective.
12960	19120	And best of all, it is simple. My name is Carl. I've been trading for 20 years. One of the biggest
19120	24240	things that I've learned is that the utmost majority of all the money that traders make
24240	29600	will take place in the first 90 minutes. For us traders, this is our bread and butter.
29600	34800	If you want to increase your chances of becoming a successful trader, you've got to master this
34800	40400	market open. And to master it, you've simply got to have the right trading strategy. Otherwise,
40400	45440	it's game over. In today's video, I'm going to show you how to use the quick flip scalper strategy
45440	51360	in just three simple steps. I will present it the exact same way it was shown to me back in 2011,
51360	57920	and the same way I have taught hundreds of other traders. We have all used it day in and day out
57920	62800	to make solid trades for years. Then after explaining the three-step strategy,
62800	68160	I will take that process and I will trade the quick flip scalper in a live market so that you
68160	76080	know how to apply it. Let's get started. I love this quick flip scalper. I've built a 15 plus
76080	80720	year trading career off of this strategy. Most people I show it to like it as well,
80720	85520	because it's straightforward and it doesn't require any complex structure.
85520	90720	Let's jump into the three steps. Step one is to box the opening range candle.
94720	101920	Let me show you how. Open whatever asset you are trading on a 15-minute chart. For this example,
101920	109280	I'm going to use Nasdaq 100, but it works with any asset. Just make sure it's a 15-minute chart.
109280	115280	From there, let the first 15 minutes of the market open pass, allowing that candle to
115280	120880	completely close. Once that candle has closed, use the box drawing tool to connect the highest
120880	129360	price point we see. This very top of the wick, which says 24675, we are going to connect that
129360	136480	with the lowest price point we see, which is 24502. We're going to box that range in and we're
136480	142560	going to extend it into the future. And that's all for step one. I told you it was going to be
142560	149200	simple. So this is all you need to do. Just box in the high to low range and then extend it.
149200	154720	Now let's move on to step number two, which is a crucial step. The step is to confirm that this
154720	164080	candle is a liquidity candle. Most likely it is, and I will explain why soon. And if it is,
164080	170240	we are on to something special. A liquidity candle is a fast aggressive candle moving up or down.
170800	177600	The direction doesn't matter. It's fast, it's aggressive and it's moving in one direction.
177600	182640	But it's more than just a candle. It's an emotional event and that is where the edge is.
182640	188880	When traders worldwide see these, their very first instinct is to chase into that strength
188880	195040	or weakness fearing that they will miss out on that trading opportunity. And that's exactly
195040	201760	what these candles and the price movements are designed to do, to pull in inexperienced retail
201760	208240	traders to create liquidity for the big institutions to get in and out of their trades. This price
208240	214720	movement actually needs to happen in order for those institutions to get in and out of their
214720	222720	positions. And that is why you'll see them almost every day. This often involves a stop hunt where
